claimUid,grantTitle,grantDescription
396be811-42fb-4fc1-a35b-539e85fc5676,Community Engagement,Engaging the community in impactful projects.
e9e7caea-c6ea-43ba-8bfa-b07aeecc351b,Open Source Contributions,Rewarding contributors for open-source software.
38e09ec4-d576-4e33-b4b7-5b68c5e55e89,Research and Development,Advancing research and technology development.
e85413a2-0ea8-4615-bd1a-f4cb805c755a,Environmental Initiatives,Supporting green initiatives and eco-friendly projects.
7646ae1b-cc89-4502-baf2-6c5e52b39912,Educational Programs,Providing resources for educational outreach.
9676fde0-6e82-40ad-a3c0-c5387f50a63e,Healthcare Support,Improving access to healthcare services.
88ee7ff5-1eb3-4cb4-ac8e-3399a96c209b,Technology Innovation,Promoting innovation in technology.
84af7a16-b779-4465-a2bc-8a49c821033d,Arts and Culture,Supporting the arts and cultural heritage projects.
441e1735-a4fe-4710-8b80-ae372397de6c,Public Infrastructure,Investing in public infrastructure development.
ef712017-5f7e-4f95-a903-36522aa35851,Social Welfare,Ensuring social welfare and aid programs.
